post_content,trend,Likes,Shares,Comments
israeli student killed australia video sister,Low Trending,927,77,278
asks nations traveler data face sanctions,Highly Trending,971,15,404
sun pharma profit falls cr december quarter,Low Trending,807,58,283
slapped man touched thighs tv actress pankhuri,Moderately Trending,930,76,483
uber remove surge pricing delhi oddeven scheme,Moderately Trending,820,63,495
mangaluru airport named indias cleanest airport,Highly Trending,963,34,492
man spends lakh zimbabwe google street view,Moderately Trending,936,152,439
amu suspends holding prayer meet slain hizb militant,Low Trending,790,34,356
hurry sanya,Low Trending,915,20,369
global iot security spending reach bn report,Low Trending,912,11,249
private doctors indefinite strike bengaluru,Highly Trending,876,33,464
union minister uma bharti contest elections future,Highly Trending,981,18,302
zomato cfo sameer maheshwary quits months joining,Moderately Trending,962,62,407
aap gives pm lakh letters seeking statehood delhi,Highly Trending,901,44,424
seat sharing discussed appropriate time akhilesh,Low Trending,904,45,189
high court asks maha govt pay l man wrongly arrested,Low Trending,847,34,309
man caught using gadget hide licence plate spain,Low Trending,805,33,320
maharashtra approves maratha quota seats reserved,Moderately Trending,854,108,397
pakistan pm reaches office sunday post morning workout,Moderately Trending,973,89,369
reliance jio adds times users rivals july,Low Trending,848,4,197
apple unveils robot recycles iphones,Highly Trending,869,41,468
pandya started celebrating rohits,Low Trending,793,12,231
singapore airport rated worlds best mumbai ranked rd,Moderately Trending,969,76,384
india china sign security cooperation agreement,Moderately Trending,914,9,488
teen stabbed death school groups fight girl,Low Trending,835,73,349
family delhi man killed muslim lovers kin hosts iftar,Moderately Trending,988,93,448
captain virat kohli transformed dhonis career ganguly,Highly Trending,959,47,417
significance chipko movement,Highly Trending,896,66,407
greatest favour rahul gandhi retire guha,Low Trending,790,56,371
workload started disagree virat kohli,Moderately Trending,860,17,460
want like aamir khan saif ali khan,Highly Trending,842,22,401
couple kills man chops penis bengaluru,Moderately Trending,962,49,437
dera used printing press building mass castration cbi,Highly Trending,999,68,463
womens championship winning team declines trumps invite,Moderately Trending,900,86,484
dept share firms tax info corporate ministry,Low Trending,854,125,312
eng spinner trolls gilchrist calls ears satellite dishes,Low Trending,943,37,291
